8.725035667419433594e+00,8.136852264404296875e+00,3.223357915878295898e+00,1.035778999328613281e+01,3.333300113677978516e+00,3.333300113677978516e+00,3.333300113677978516e+00,3.897478342056274414e+00,7.564384937286376953e+00,6.974689960479736328e+00,6.131390094757080078e+00
8.454568862915039062e+00,8.247874259948730469e+00,8.289411544799804688e+00,8.528071403503417969e+00,3.333300113677978516e+00,3.333300113677978516e+00,3.333300113677978516e+00,1.139493751525878906e+01,9.132953643798828125e+00,9.755077362060546875e+00,9.252697944641113281e+00
8.289937973022460938e+00,8.123048782348632812e+00,7.750806331634521484e+00,8.658110618591308594e+00,3.333300113677978516e+00,3.333300113677978516e+00,3.333300113677978516e+00,1.150834941864013672e+01,8.624097824096679688e+00,9.592206001281738281e+00,9.096036911010742188e+00
8.807250022888183594e+00,8.420122146606445312e+00,8.427885055541992188e+00,8.404563903808593750e+00,3.333300113677978516e+00,3.333300113677978516e+00,3.333300113677978516e+00,1.121722793579101562e+01,9.513787269592285156e+00,9.648301124572753906e+00,9.282282829284667969e+00
1.085634994506835938e+01,9.691256523132324219e+00,8.787726402282714844e+00,8.045972824096679688e+00,3.333300113677978516e+00,3.333300113677978516e+00,3.333300113677978516e+00,1.104124832153320312e+01,1.154438591003417969e+01,9.498456001281738281e+00,9.190970420837402344e+00
1.132634353637695312e+01,9.288132667541503906e+00,8.156947135925292969e+00,8.020021438598632812e+00,3.333300113677978516e+00,3.333300113677978516e+00,3.333300113677978516e+00,1.038662147521972656e+01,1.111518859863281250e+01,9.152428627014160156e+00,8.862530708312988281e+00
9.257938385009765625e+00,8.710103988647460938e+00,4.929078102111816406e+00,1.005856895446777344e+01,3.333300113677978516e+00,3.333300113677978516e+00,3.333300113677978516e+00,6.492377758026123047e+00,8.384397506713867188e+00,8.143342018127441406e+00,7.423764705657958984e+00
1.023387336730957031e+01,9.491530418395996094e+00,9.411991119384765625e+00,7.837435722351074219e+00,3.333300113677978516e+00,3.333300113677978516e+00,3.333300113677978516e+00,1.091617965698242188e+01,1.118823909759521484e+01,9.363841056823730469e+00,9.316672325134277344e+00
1.146379089355468750e+01,9.229681015014648438e+00,7.920310974121093750e+00,8.122878074645996094e+00,3.333300113677978516e+00,3.333300113677978516e+00,3.333300113677978516e+00,1.013204765319824219e+01,1.093598365783691406e+01,9.100024223327636719e+00,8.693434715270996094e+00
1.153297615051269531e+01,9.294132232666015625e+00,7.871480941772460938e+00,8.091528892517089844e+00,3.333300113677978516e+00,3.333300113677978516e+00,3.333300113677978516e+00,1.024758243560791016e+01,1.114350891113281250e+01,9.029397964477539062e+00,8.840948104858398438e+00
